診所名稱,搜尋行政區,診所類別,營業狀態,地址,電話,資料更新時間
台中大甲專業洗腎/腎臟科 蔡精龍診所,台中市大甲區,診所,休息中/未營業,新政路254號已打烊,04 2687 5759,2026-09-10 05:27
璩大維診所,台中市大甲區,診所,休息中/未營業,中山路一段1035-1號已打烊,04 2686 3600,2026-09-10 05:27
李綜合醫療社團法人大甲李綜合醫院,台中市大甲區,泌尿科,未知,八德街2號24 小時營業,04 2686 2288,2026-09-10 05:27
林修名診所-泌尿科、外科,台中市大甲區,泌尿科,休息中/未營業,"號 3 樓, No. 193圓環南路已打烊",04 2513 0166,2026-09-10 05:27
博濟診所,台中市大甲區,泌尿科,休息中/未營業,逢甲路233號已打烊,04 2707 0498,2026-09-10 05:27
見安診所,台中市大甲區,泌尿科,休息中/未營業,順天路391號已打烊,04 2688 9595,2026-09-10 05:27
李綜合醫療社團法人大甲李綜合醫院急診室,台中市大甲區,骨科,未知,八德街2號24 小時營業,04 2686 2288,2026-09-10 05:27
順安醫院,台中市大甲區,骨科,未知,光明路6號即將開始營業,04 2686 2328,2026-09-10 05:27
新大同聯合診所附設護理之家,台中市大甲區,骨科,營業中,中山路一段1089號營業中,04 2686 6376,2026-09-10 05:27
濟生損傷接骨所,台中市大甲區,骨科,未知,大甲區水源路2號之2804 2687 5052,,2026-09-10 05:27
啟明眼科聯合診所,台中市大甲區,骨科,休息中/未營業,光明路71號已打烊,04 2687 9311,2026-09-10 05:27
名駿傳統推拿,台中市大甲區,骨科,休息中/未營業,育德路2號已打烊,0980 835 699,2026-09-10 05:27
宏原復健科診所,台中市大甲區,骨科,未知,中山路一段1089號04 2680 0477,,2026-09-10 05:27
安健整復中心,台中市大甲區,骨科,未知,慈德路17551號0911 937 695,,2026-09-10 05:27
李婦產科診所,台中市大甲區,婦產科,休息中/未營業,民生路22之2號已打烊,04 2688 3771,2026-09-10 05:27
喜月婦產科診所,台中市大甲區,婦產科,休息中/未營業,水源路11號已打烊,04 2688 1746,2026-09-10 05:27
張漢昌婦產科診所,台中市大甲區,婦產科,休息中/未營業,經國路1978巷3號已打烊,04 2681 7420,2026-09-10 05:27
綠沐髮廊·台中推薦髮廊·剪燙染推薦,台中市大甲區,美容,營業中,中華街66號營業中,,2026-09-10 05:27
熹髮廊 大甲頭皮spa推薦 大甲護髮推薦 大甲洗髮推薦 大甲染髮推薦 大甲燙髮推薦,台中市大甲區,美容,營業中,民權路67號營業中,,2026-09-10 05:27
大甲紫色美人正統越式洗頭,台中市大甲區,美容,營業中,蔣公路35號營業中,,2026-09-10 05:27
A&O Hair Salon/大甲髮廊/剪髮推薦/男士剪髮/大甲染髮/大甲燙髮/大甲髮廊推薦,台中市大甲區,美容,營業中,信義路132號營業中,,2026-09-10 05:27
橙黎髮廊O’Li Hair｜大甲髮廊｜燙染推薦｜頭皮護理｜質感護髮,台中市大甲區,美容,營業中,孔雀路38巷13-1號1樓營業中,,2026-09-10 05:27
台中/大甲幸福美甲,台中市大甲區,美容,營業中,順天路26號營業中,,2026-09-10 05:27
MENARD FACIAL SALON - 大甲 沛立絲店,台中市大甲區,美容,未知,東安路501巷12-31號,,2026-09-10 05:27
JEN spa皮膚管理｜黃金做臉｜矽晶美容｜美胸按摩,台中市大甲區,皮膚管理,營業中,新美街70巷38號營業中,,2026-09-10 05:27
肌本 | AURA | 皮膚管理 |霧眉,台中市大甲區,皮膚管理,未知,鎮瀾街22-1號,,2026-09-10 05:27
恩福SPA,台中市大甲區,皮膚管理,營業中,鎮政路11號3樓營業中,,2026-09-10 05:27
欣源美診所｜心臟專科｜家醫科｜耳鼻喉專科｜居家醫療｜慢性病照護,台中市神岡區,醫美,休息中/未營業,神岡路45之1號已打烊,04 2563 3059,2026-09-10 05:27
品竹Spa美妍美體,台中市神岡區,醫美,營業中,社南街242號營業中,0975 329 917,2026-09-10 05:27
瑭芸SPA精品美妍館,台中市神岡區,醫美,營業中,神圳路32-7號營業中,04 2563 1523,2026-09-10 05:27
愛美診所,台中市神岡區,醫美,營業中,向陽路148號3樓營業中,04 2526 0599,2026-09-10 05:27
以琳全方位美學,台中市神岡區,醫美,營業中,中山路1458號2樓營業中,0976 755 856,2026-09-10 05:27
日曦美學診所︱溫馨醫美·預防醫學,台中市神岡區,醫美,營業中,豐東一街2號營業中,04 2523 0666,2026-09-10 05:27
林炳麟診所,台中市神岡區,醫美,休息中/未營業,神岡路24號已打烊,04 2561 0165,2026-09-10 05:27
采風醫美-惠盛醫院美容中心,台中市神岡區,醫美,營業中,中正路251號營業中,04 2528 4400,2026-09-10 05:27
神岡那間 美學,台中市神岡區,醫美,營業中,中山路784巷40號營業中,,2026-09-10 05:27
文政聯合診所- 糖尿病 家醫 內科 洗腎中心『休診前十分鐘止掛』,台中市神岡區,醫美,休息中/未營業,文政街58號1、2樓已打烊,04 2563 0193,2026-09-10 05:27
神岡-晉安診所 - 新世代洗腎中心/內科/居家醫療,台中市神岡區,醫美,營業中,中山路865號營業中,04 2563 2666,2026-09-10 05:27
S.Beauty spa 台中大雅區 北屯區 神岡區 豐原區精油spa按摩 臉部護理 清粉刺 臉部撥筋 耳燭 曲線雕塑 左旋C嫩白,台中市北屯區,醫美,營業中,建興路193號1F營業中,0923 171 303,2026-09-10 05:27
李敦錦聯合診所,台中市神岡區,醫美,休息中/未營業,民生路40之2號已打烊,04 2561 7382,2026-09-10 05:27
玩美女人時尚診所,台中市神岡區,醫美,營業中,向陽路255號營業中,04 2515 5566,2026-09-10 05:27
潔西卡彩妝造型美學 𝑱𝒆𝒔𝒔𝒊𝒄𝒂 𝑩𝒆𝒂𝒖𝒕𝒚｜豐原護膚｜做臉｜皮膚管理｜韓式水飛梭｜無痛清粉刺｜痘痘肌護理｜醫美級抗老緊緻｜專業除毛｜新秘｜客製化｜活動妝髮｜新娘妝髮｜媽媽妝髮｜一對一彩妝課程教學美容創業課程｜保養品零售批發｜美業店家歡迎合作洽談,台中市神岡區,醫美,營業中,豐北街407號2樓營業中,0988 639 608,2026-09-10 05:27
光妍皮膚科診所,台中市神岡區,醫美,休息中/未營業,中正路377號379號2樓1樓已打烊,04 2520 5892,2026-09-10 05:27
芮氏美學｜神岡美甲/神岡美睫/神岡霧眉,台中市神岡區,美學,營業中,中正路77巷29號營業中,,2026-09-10 05:27
媄妍美學 M-Beauty,台中市神岡區,美學,營業中,大漢街63巷12號營業中,,2026-09-10 05:27
唯愛美學,台中市神岡區,美學,營業中,文政街40巷12號營業中,,2026-09-10 05:27
喬安娜美學,台中市神岡區,美學,營業中,大豐路五段379號營業中,,2026-09-10 05:27
Core Beauty • 禾芯美學 |豐原按摩|神岡按摩|經絡養生|芳療課程|油壓|指壓|身心放鬆|臉部課程|藻針課程|高cp值按摩|筋膜釋放|客製化spa|敷體淨化,台中市神岡區,美學,營業中,大洲路463號營業中,,2026-09-10 05:27
Koli 果梨美學｜皮膚管理．熱蠟除毛．霧眉．半永久紋繡．彩妝．角蛋白美睫,台中市神岡區,美學,營業中,大漢街129號營業中,,2026-09-10 05:27
娜美時尚美學／健一養生工作坊,台中市神岡區,美學,未知,大社街118號即將開始營業,,2026-09-10 05:27
Li Quid • 美學工作室｜豐原｜台中｜做臉、除毛、霧眉,台中市神岡區,美學,未知,大洲路500號,,2026-09-10 05:27
沛緹絲美學,台中市神岡區,美學,營業中,大漢街64號營業中,,2026-09-10 05:27
Siwy Lab 晞惟美學/豐原霧眉/韓式霧眉/神岡霧眉/潭子霧眉/大雅霧眉/睫毛管理/豐原美睫/神岡美睫/大雅美睫,台中市神岡區,美學,營業中,大漢街1巷33號營業中,,2026-09-10 05:27
Queena studio 昆娜美學‖ 臉部撥筋•清粉刺調理•耳燭•溫罐•霧眉 ‖,台中市神岡區,美學,未知,豐洲路529號2F,,2026-09-10 05:27
Qin’s Beauty 沁安時尚美學,台中市神岡區,美學,營業中,西勢一街68號營業中,,2026-09-10 05:27
芸朵美學 KUMO Beauty,台中市神岡區,美學,營業中,豐西街111號3樓營業中,,2026-09-10 05:27
大雅美甲 Tracy Aesthetics Studio翠斯美學,台中市神岡區,美學,營業中,民生路三段415巷7號營業中,,2026-09-10 05:27
茉莉小花美學,台中市神岡區,美學,營業中,豐原大道ㄧ段418號營業中,,2026-09-10 05:27
豐原美容SPA-137全方位美學館/豐原美甲/豐原美睫/臉部保養/豐原按摩/豐原熱蠟除毛／韓式紋繡,台中市神岡區,美學,營業中,瑞興路48號營業中,,2026-09-10 05:27
心文美學豐原店-台中半永久紋繡推薦|霧眉|飄眉|美瞳線|男士眉|美睫|紋唇|美容美體|美甲| SinWen Beauty 廟東創業全科班教學,台中市神岡區,美學,營業中,三民路190巷24號1樓營業中,,2026-09-10 05:27
淘喜美甲美學,台中市神岡區,美學,營業中,神清路30-3號營業中,,2026-09-10 05:27
瞳居時代時尚美學 美睫紋繡(大雅店),台中市神岡區,美學,營業中,雅環路一段332巷13弄5號營業中,,2026-09-10 05:27
昀儒美容美學,台中市神岡區,美學,營業中,神林南路297號營業中,,2026-09-10 05:27
Yan艷美學,台中市神岡區,美學,營業中,神林南路173巷1弄25號營業中,,2026-09-10 05:27
芭達雅美學概念-豐原霧眉|豐原做臉|清粉刺|嘟嘟唇|線條眉|熱蠟除毛|推薦霧唇|霧眉首選,台中市神岡區,美學,營業中,中陽路80號營業中,,2026-09-10 05:27
沐夏-心玥美學｜無痛清粉刺｜大雅首選｜肌膚管理｜客製化保養,台中市神岡區,美學,未知,神林南路197巷55之16號一樓,,2026-09-10 05:27
四季與妳 美甲•美學 ｜豐原美甲｜神岡美甲｜后里美甲｜創業教學｜熱蠟除毛｜私密除毛,台中市神岡區,美學,營業中,豐科路77號營業中,,2026-09-10 05:27
顏控小姐科技皮膚管理,台中市神岡區,肌膚管理,營業中,台中市神岡區,,2026-09-10 05:27
Chaleur Skin Studio｜夏樂肌膚管理,台中市神岡區,肌膚管理,營業中,大洲路478號營業中,0976 890 220,2026-09-10 05:27
青青台中越式洗頭,台中市神岡區,肌膚管理,營業中,中山路1488號營業中,0983 616 602,2026-09-10 05:27
小清新 霧眉美睫肌膚管理工作室,台中市神岡區,肌膚管理,營業中,神清路166-7號營業中,0923 524 907,2026-09-10 05:27
LIAN skin care肌膚管理中心,台中市神岡區,肌膚管理,營業中,成功路424號營業中,04 2513 0169,2026-09-10 05:27
Time Skin Studio 蒔肌皮膚管理,台中市神岡區,肌膚管理,營業中,愛國街256號營業中,,2026-09-10 05:27
Lohas Skin Care 樂活 潭子店/無痛清粉刺/敏感/痘痘/痘疤/斑點/美容教學/潭子做臉/豐原做臉/北屯做臉/大雅做臉/神岡做臉/石崗做臉/新社做臉/東勢做臉/后里做臉/潭子加工區/勝利商圈,台中市神岡區,肌膚管理,營業中,勝利二街108號營業中,0916 152 361,2026-09-10 05:27
津綵癒膚保養(肌膚的補習班),台中市神岡區,肌膚管理,營業中,中山路二段211號營業中,0987 197 559,2026-09-10 05:27
WonderBeauty,台中市神岡區,肌膚管理,營業中,中山路二段211號2F營業中,0987 197 559,2026-09-10 05:27
凱莉絲美顏工作室 (預約制) /美容/美體/筋膜刀按摩/熱蠟美肌,台中市神岡區,肌膚管理,營業中,文昌街320巷23弄11號營業中,0975 605 191,2026-09-10 05:27
Charming 日式美睫.熱蠟除毛,台中市神岡區,肌膚管理,營業中,"神林路10之1號, 3營業中",0936 144 270,2026-09-10 05:27
婧美學SPA｜臉部｜保養｜精油保養｜原裝進口｜無痛清粉刺,台中市神岡區,肌膚管理,未知,中興路67號0900 484 386,,2026-09-10 05:27
六月美學,台中市神岡區,肌膚管理,營業中,雅潭路四段667號營業中,0983 055 311,2026-09-10 05:27
媞妍美學,台中市神岡區,肌膚管理,營業中,雅潭路四段102號營業中,0901 413 534,2026-09-10 05:27
台中西屯按摩｜ZOEI SPA 柔癒身心靈｜INDIBA| 骨盆調理｜花精｜頌缽｜遠紅外線艙,台中市神岡區,肌膚管理,營業中,至善路119號營業中,04 2452 0425,2026-09-10 05:27
H•STUDIO 台中霧眉｜美體｜艾草溫罐,台中市神岡區,肌膚管理,營業中,岸興街17號營業中,,2026-09-10 05:27
面室 Face.d,台中市神岡區,肌膚管理,營業中,台中市神岡區,,2026-09-10 05:27
葉美麗肌膚管理,台中市神岡區,肌膚管理,休息中/未營業,忠太西路87號已打烊,04 2237 8009,2026-09-10 05:27
Ali’s Glow SPA | 大雅•神岡美甲·睫毛管理·肌斷食·耳燭,台中市神岡區,肌膚管理,營業中,雅楓街143號營業中,0970 175 905,2026-09-10 05:27
Aileen肌膚美學.豐原做臉.豐原清粉刺,台中市神岡區,肌膚管理,營業中,台中市神岡區,0977 131 806,2026-09-10 05:27
童漾美容工作室,台中市神岡區,肌膚管理,營業中,中清路二段280巷45號營業中,0972 605 857,2026-09-10 05:27
克麗緹娜 ｜台中大雅店｜客製化做臉課程,台中市神岡區,肌膚管理,營業中,雅環路二段118號ㄧ樓營業中,0912 139 786,2026-09-10 05:27
小太陽美學 Sun Atayal,台中市神岡區,肌膚管理,營業中,柳陽西街94巷5號營業中,0916 828 142,2026-09-10 05:27
陳忠義診所｜神岡內科・兒科・疫苗・瘦瘦針・營養點滴・玻尿酸注射・骨鬆治療・帶狀皰疹治療 (門診結束前10分鐘止掛),台中市神岡區,皮膚科,休息中/未營業,民生路22號已打烊,04 2562 8672,2026-09-10 05:27
祈安聯合診所,台中市神岡區,皮膚科,休息中/未營業,民生路27號已打烊,04 2562 5470,2026-09-10 05:27
安德診所,台中市神岡區,皮膚科,未知,中山路737號04 2561 3730,,2026-09-10 05:27
張弘毅診所,台中市神岡區,皮膚科,未知,神清路197號號,,2026-09-10 05:27
佑林診所,台中市神岡區,皮膚科,休息中/未營業,中山路27號已打烊,04 2515 9896,2026-09-10 05:27
王榮祿皮膚科診所,台中市神岡區,皮膚科,休息中/未營業,圓環東路91號已打烊,04 2515 4347,2026-09-10 05:27
劉俊欣耳鼻喉科診所,台中市神岡區,皮膚科,休息中/未營業,"神岡路88巷12號, 1已打烊",04 2563 3797,2026-09-10 05:27
保東診所,台中市神岡區,皮膚科,休息中/未營業,神岡路73號已打烊,04 2562 2390,2026-09-10 05:27
吳幸源皮膚科診所,台中市神岡區,皮膚科,休息中/未營業,中正路226號已打烊,04 2527 5700,2026-09-10 05:27
李長模皮膚科,台中市神岡區,皮膚科,休息中/未營業,中正路124號已打烊,04 2525 0920,2026-09-10 05:27
杏安診所,台中市神岡區,皮膚科,休息中/未營業,中山路654號已打烊,04 2561 2869,2026-09-10 05:27
文福洗腎室,台中市神岡區,皮膚科,營業中,文政街58號2樓營業中,04 2563 4666,2026-09-10 05:27
林小兒科診所,台中市神岡區,皮膚科,休息中/未營業,神岡路24號已打烊,04 2561 0165,2026-09-10 05:27
楊得銘皮膚科診所,台中市神岡區,皮膚科,休息中/未營業,雅環路二段318號已打烊,04 2565 3075,2026-09-10 05:27
李內兒科診所,台中市神岡區,皮膚科,休息中/未營業,中山路628號已打烊,04 2562 7097,2026-09-10 05:27
新神岡復健科診所,台中市神岡區,皮膚科,營業中,中山路867號營業中,04 2563 2888,2026-09-10 05:27
尚渼皮膚科診所,台中市神岡區,皮膚科,休息中/未營業,中山路二段368號已打烊,04 2532 9489,2026-09-10 05:27
神岡區衛生所,台中市神岡區,皮膚科,營業中,神岡路2號營業中,04 2562 2792,2026-09-10 05:27
李大東皮膚科診所,台中市神岡區,皮膚科,休息中/未營業,民生路一段59號已打烊,04 2567 8162,2026-09-10 05:27
臺中市神岡區公所,台中市神岡區,皮膚科,營業中,神岡路30號營業中,04 2562 0841,2026-09-10 05:27
永福診所,台中市神岡區,皮膚科,休息中/未營業,中正路701號已打烊,04 2528 0042,2026-09-10 05:27
皮膚科及醫學美容科,台中市神岡區,皮膚科,未知,台中市神岡區,,2026-09-10 05:27
成福診所,台中市神岡區,皮膚科,休息中/未營業,和平街47號已打烊,04 2522 5049,2026-09-10 05:27
馨柔診所,台中市神岡區,皮膚科,休息中/未營業,勝利路303號已打烊,04 2535 8326,2026-09-10 05:27
樂天兒科診所/小兒專科/台灣兒童過敏氣喘免疫專科,台中市神岡區,診所,休息中/未營業,神岡路38號已打烊,04 2563 0200,2026-09-10 05:27
林政益小兒科診所,台中市神岡區,診所,休息中/未營業,中山路33號已打烊,04 2515 2765,2026-09-10 05:27
恩德診所,台中市神岡區,診所,未知,和睦路一段34號04 2561 8290,,2026-09-10 05:27
施一中診所,台中市神岡區,診所,未知,中山路654號,,2026-09-10 05:27
銘德診所,台中市神岡區,診所,未知,神岡路105號04 2562 3329,,2026-09-10 05:27
豐原醫院泌尿科,台中市神岡區,泌尿科,休息中/未營業,台中市神岡區,,2026-09-10 05:27
天益診所,台中市神岡區,泌尿科,營業中,和平街33號營業中,04 2522 2532,2026-09-10 05:27
林田診所,台中市神岡區,泌尿科,休息中/未營業,合作街53號已打烊,04 2537 7248,2026-09-10 05:27
林明亮診所,台中市神岡區,泌尿科,休息中/未營業,頭張路一段3號已打烊,04 2532 2246,2026-09-10 05:27
黃明弘診所,台中市神岡區,泌尿科,休息中/未營業,安康路63號已打烊,04 2520 0392,2026-09-10 05:27
光星骨科復健器材股份有限公司,台中市神岡區,骨科,營業中,豐洲路1096號營業中,080 003 6678,2026-09-10 05:27
重德診所,台中市神岡區,骨科,休息中/未營業,中山路489號已打烊,04 2526 3709,2026-09-10 05:27
重仁骨科診所,台中市神岡區,骨科,休息中/未營業,中山路487號已打烊,04 2523 7075,2026-09-10 05:27
吳晉淵骨科診所,台中市神岡區,骨科,休息中/未營業,三民路65號1.2樓已打烊,04 2535 5206,2026-09-10 05:27
如毅診所︱復健科、外科、兒童早療,台中市神岡區,骨科,營業中,中興路112號營業中,04 2526 3806,2026-09-10 05:27
黃骨科外科診所,台中市神岡區,骨科,休息中/未營業,神林南路175號已打烊,04 2560 3133,2026-09-10 05:27
圓環東聯合診所 (骨外科/復健科/內科糖尿病共照網/肝膽腸胃)附設 X光設備 /大腸/胃鏡/超音波/復健治療,台中市神岡區,骨科,營業中,圓環東路656號營業中,04 2522 0739,2026-09-10 05:27
健新復健科診所,台中市神岡區,骨科,營業中,中正路440號營業中,04 2527 3048,2026-09-10 05:27
唐偉峯復健科診所,台中市神岡區,骨科,休息中/未營業,中山路371號已打烊,04 2529 7228,2026-09-10 05:27
呂維國婦產科診所－婦產科｜小兒科｜乳房外科｜成人健檢｜四癌篩檢,台中市神岡區,婦產科,休息中/未營業,中正路348號已打烊,04 2526 2889,2026-09-10 05:27
呂錫修婦產科診所,台中市神岡區,婦產科,未知,五權路101號04 2528 5108,,2026-09-10 05:27
優生聯合婦產科診所,台中市神岡區,婦產科,休息中/未營業,中正路282號已打烊,04 2527 3395,2026-09-10 05:27
文華婦產科診所,台中市神岡區,婦產科,休息中/未營業,中正路170號已打烊,04 2527 3385,2026-09-10 05:27
新惠生婦產科,台中市神岡區,婦產科,未知,圓環北路一段319號24 小時營業,04 2522 8792,2026-09-10 05:27
弘光婦產科診所,台中市神岡區,婦產科,未知,市前街69號,,2026-09-10 05:27
洪榮信診所,台中市神岡區,婦產科,休息中/未營業,中正路888號已打烊,04 2528 7157,2026-09-10 05:27
呂岡原聯合診所,台中市神岡區,婦產科,未知,三民路174號暫時關閉,04 2522 8302,2026-09-10 05:27
晶晏國際企業有限公司,台中市神岡區,醫學美容,營業中,中車路13-20號營業中,04 2560 9393,2026-09-10 05:27
盟欽國際樂活事業社（建材批發·AM瑞士保養品）,台中市神岡區,醫學美容,營業中,中山路667巷56號營業中,04 2563 4530,2026-09-10 05:27
璽悅診所|預防醫學|抗衰老|血液淨化|EECP體外反搏|心血管專家|健康管理|慢性病照護|性功能障礙|醫學美容|,台中市神岡區,醫學美容,營業中,豐原大道四段463號營業中,04 2525 2555,2026-09-10 05:27
Lian減痛泌乳,台中市神岡區,醫學美容,未知,成功路66巷24 小時營業,,2026-09-10 05:27
敬煇企業有限公司,台中市神岡區,醫學美容,營業中,中山路447號營業中,04 2562 6193,2026-09-10 05:27
武德堂國術館,台中市神岡區,醫學美容,休息中/未營業,神林路12巷14號已打烊,0932 528 531,2026-09-10 05:27
COCO 美髮沙龍-神岡頭皮護理|必去美髮|專業染髮|專業剪髮|日韓燙髮|推薦剪髮|頭皮SPA護理|在地推薦美髮,台中市神岡區,美容,營業中,中車路83-2號營業中,,2026-09-10 05:27
NINI HAIR,台中市神岡區,美容,營業中,中山路874號營業中,,2026-09-10 05:27
PANDORA(潘朵拉)美甲屋,台中市神岡區,美容,營業中,中車路60號營業中,,2026-09-10 05:27
台中樂活髮型沙龍,台中市神岡區,美容,營業中,厚生路58之1號營業中,,2026-09-10 05:27
髮琚Hair studio,台中市神岡區,美容,營業中,大漢街36號營業中,,2026-09-10 05:27
IDEA享髮概念館,台中市神岡區,美容,營業中,大漢街31巷16弄8號營業中,,2026-09-10 05:27
亞曼妮美髮沙龍(預約制),台中市神岡區,美容,營業中,神岡路74號營業中,,2026-09-10 05:27
賽斯髮藝,台中市神岡區,美容,營業中,中山路1204號營業中,,2026-09-10 05:27
藝衢髮廊EChu Hair Salon,台中市神岡區,美容,營業中,中山路688號營業中,,2026-09-10 05:27
彩藝造型坊* VERSATILE BARBER SHOP*,台中市神岡區,美容,營業中,民生路36-2號營業中,,2026-09-10 05:27
美虹時尚髮藝,台中市神岡區,美容,休息中/未營業,神林路10號已打烊,,2026-09-10 05:27
艷虹美容院,台中市神岡區,美容,營業中,神清路209號營業中,,2026-09-10 05:27
三姊妹美髮店,台中市神岡區,美容,未知,中山路614巷134-172號,,2026-09-10 05:27
Ginny.nail豐原美甲｜台中美甲 ｜ 神岡美甲,台中市神岡區,美容,未知,大洲路478號24 小時營業,,2026-09-10 05:27
寶麗美容美粧,台中市神岡區,美容,營業中,民生路6號營業中,,2026-09-10 05:27
馨方優活美顏坊,台中市神岡區,美容,營業中,中山路1133號營業中,,2026-09-10 05:27
美妃群皮膚管理中心,台中市神岡區,皮膚管理,營業中,豐原大道二段142號營業中,0975 922 197,2026-09-10 05:27
蒔光肌韓式皮膚管理,台中市神岡區,皮膚管理,營業中,一心路24號營業中,,2026-09-10 05:27
NA NA SPA,台中市神岡區,皮膚管理,未知,大洲路402號0909 200 248,,2026-09-10 05:27
New way妮葳,台中市神岡區,皮膚管理,營業中,民生路四段212號營業中,04 2566 0877,2026-09-10 05:27
洗酸小舖 ︱森原•調理所（完全預約制),台中市神岡區,皮膚管理,未知,社南街167號1樓即將開始營業,0968 273 557,2026-09-10 05:27
ORLA美學顏究所.皮膚管理,台中市神岡區,皮膚管理,營業中,大林路140巷118-1號營業中,,2026-09-10 05:27
EBO Beauty 韓國皮膚管理.紋繡,台中市神岡區,皮膚管理,營業中,信義街202號2樓營業中,,2026-09-10 05:27
Ellie Studio 霧眉丨皮膚管理丨鹿茸外泌體,台中市神岡區,皮膚管理,未知,福潭路870巷41號,,2026-09-10 05:27
寶雅 台中神岡店,台中市神岡區,皮膚管理,營業中,民生路29-2號營業中,04 2561 6262,2026-09-10 05:27
瑞友生鮮百貨-神岡店（原神岡百貨）,台中市神岡區,皮膚管理,營業中,中山路1420號營業中,04 2563 4803,2026-09-10 05:27
Nong face 挵臉,台中市神岡區,皮膚管理,未知,文昌街187號,,2026-09-10 05:27
Holly Skin Studio荷莉美學,台中市后里區,醫美,營業中,三光路168號營業中,0955 129 899,2026-09-10 05:27
后里診所,台中市后里區,醫美,休息中/未營業,四村路76號已打烊,04 2558 1125,2026-09-10 05:27
后里美學•Skina studio｜韓式皮膚管理｜霧眉｜半永久紋繡｜熱蠟美肌｜法式美睫,台中市后里區,醫美,營業中,文化路66號營業中,0988 770 519,2026-09-10 05:27
沐妍SPA,台中市后里區,醫美,營業中,甲后路一段249號營業中,04 2558 5399,2026-09-10 05:27
緁絲沛科學美容,台中市后里區,醫美,未知,大圳路639號3樓,,2026-09-10 05:27
舒曼SPA館｜美容美體｜無痛除毛｜冰肌除毛｜男女精油按摩｜后里按摩推薦｜后里美容｜后里按摩｜后里SPA|后里除毛｜,台中市后里區,醫美,營業中,中山路1號營業中,0936 790 155,2026-09-10 05:27
Lris 黎芮絲時尚美容 甲后店,台中市后里區,醫美,營業中,甲后路一段658號營業中,04 2557 7843,2026-09-10 05:27
施博元診所,台中市后里區,醫美,休息中/未營業,民生路220號已打烊,04 2557 2699,2026-09-10 05:27
李煥照婦產專科診所Dr.Lee’s Women Clinic,台中市后里區,醫美,休息中/未營業,文明路33號已打烊,04 2558 1886,2026-09-10 05:27
馨婷spa美妍館,台中市后里區,醫美,營業中,文化路217之6號營業中,04 2558 7049,2026-09-10 05:27
艾黛爾美容工作室,台中市后里區,醫美,未知,甲后路三段116號24 小時營業,0972 781 085,2026-09-10 05:27
后里維恩聯合診所,台中市后里區,醫美,休息中/未營業,甲后路一段480號已打烊,04 2558 6608,2026-09-10 05:27
康是美 新后里門市,台中市后里區,醫美,營業中,甲后路一段539號營業中,04 2558 4033,2026-09-10 05:27
蘭提絲美睫,台中市后里區,醫美,未知,"203 號, 甲后路",,2026-09-10 05:27
吉泰診所,台中市后里區,醫美,休息中/未營業,甲后路一段165號已打烊,04 2558 6402,2026-09-10 05:27
張偉煌診所,台中市后里區,醫美,休息中/未營業,三豐路三段1070號已打烊,04 2558 0008,2026-09-10 05:27
香堤美學（專業接睫毛．光固美睫．妝感霧眉．熱蠟．粉刺痘痘調理．各種肌膚問題）,台中市后里區,美學,營業中,甲后路一段746號營業中,,2026-09-10 05:27
Lana-菈娜美學館 |后里｜美甲｜美睫｜紋繡｜韓式皮膚管理｜微刺青,台中市后里區,美學,營業中,成功路105巷4號營業中,,2026-09-10 05:27
后里Ej藝睫時尚美學/美甲美睫/美容美體/角蛋白/水霧眉/眼線/創業教學,台中市后里區,美學,營業中,三光路197號營業中,,2026-09-10 05:27
妏沁經絡美學｜男女按摩｜男女除毛｜滑罐刮痧｜采耳耳燭,台中市后里區,美學,營業中,后里路27巷24弄2-2號營業中,,2026-09-10 05:27
花漾Spa美學,台中市后里區,美學,營業中,文明路31巷48號營業中,,2026-09-10 05:27
J.K 舒適美學,台中市后里區,美學,營業中,甲后路一段227巷116號營業中,,2026-09-10 05:27
魏渝美學坊- 后里美甲 美容 美體 （近豐原、三義、大甲、外埔）,台中市后里區,美學,未知,甲后路一段636號2F24 小時營業,,2026-09-10 05:27
Jenny studio 專業韓式皮膚管理中心（后里韓式無痛清粉刺推薦/后里美學/台中皮膚管理/顱內耳燭/深層頭部療癒SPA/法式SPA/男士做臉/孕婦肌膚保養/后里做臉/療癒放鬆）,台中市后里區,美學,營業中,中和路7巷1號營業中,,2026-09-10 05:27
蘭堤斯時尚美學沙龍,台中市后里區,美學,營業中,甲后路一段231號營業中,,2026-09-10 05:27
髮藝時尚美學^ _ ^,台中市后里區,美學,營業中,福音路124號營業中,,2026-09-10 05:27
曼美學美甲美睫,台中市后里區,美學,營業中,甲后路二段437號營業中,,2026-09-10 05:27
妍星宸美學（暫不開放新客預約）,台中市后里區,美學,營業中,文明路118號營業中,,2026-09-10 05:27
Vanessa 時尚美甲,台中市后里區,美學,營業中,二 圳 路 568 巷67號營業中,,2026-09-10 05:27
后里Dolly朵麗美甲美睫新秘,台中市后里區,美學,營業中,三豐路四段128號營業中,,2026-09-10 05:27
雨菲-紋綉/熱蠟/采耳,台中市后里區,美學,營業中,公安路130-1號營業中,,2026-09-10 05:27
🚗靚車美學🔩,台中市后里區,美學,未知,三線路3之1號,,2026-09-10 05:27
采軒髮型設計工作室,台中市后里區,美學,營業中,三豐路三段1082巷9號營業中,,2026-09-10 05:27
Pony Rose 小馬玫瑰美妍美體工作室,台中市后里區,美學,營業中,內東路廣成巷73號3F營業中,,2026-09-10 05:27
